,fan_in,fan_out,loc,cyclomatic_complexity,num_parameters,cluster,pca1,pca2
BenchmarkMapper.map,1,62,5,1,4,2,0.3036433559536109,-0.5301928941436618
BenchmarkMapper.process,1,0,3,1,1,0,-0.7399340058814401,-0.4615830816001721
BenchmarkReducer.reduce,2,25,7,2,4,2,0.31580369891682186,-1.0464605205352628
BenchmarkReducer.process,1,0,3,1,1,0,-0.7399340058814401,-0.4615830816001721
BenchmarkRunner.main,3,187,11,2,1,1,1.1414971822012294,2.0755469739892516
GenData.generateText,2,6,28,5,3,2,1.3807464245549983,-1.0952017325939618
GenData.pad,4,4,10,2,2,0,-0.08106065382849731,-0.7195157282876873
GenData.main,3,187,8,2,1,1,1.0384688281797299,2.0833819337789237
MultiJobRunner.getInput,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
MultiJobRunner.setInput,3,3,3,1,1,0,-0.7186380888712158,-0.405983745628013
MultiJobRunner.getJarFile,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
MultiJobRunner.setJarFile,0,0,3,1,1,0,-0.7394410688006781,-0.4688798196969869
MultiJobRunner.getOutput,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
MultiJobRunner.setOutput,0,0,3,1,1,0,-0.7394410688006781,-0.4688798196969869
MultiJobRunner.getNumJobs,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
MultiJobRunner.setNumJobs,1,0,3,1,1,0,-0.7399340058814401,-0.4615830816001721
MultiJobRunner.getDataLines,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
MultiJobRunner.setDataLines,1,0,3,1,1,0,-0.7399340058814401,-0.4615830816001721
MultiJobRunner.isIgnoreOutput,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
MultiJobRunner.setIgnoreOutput,1,0,3,1,1,0,-0.7399340058814401,-0.4615830816001721
MultiJobRunner.setVerbose,2,0,3,1,1,0,-0.7404269429622022,-0.45428634350335745
MultiJobRunner.getVerbose,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
MultiJobRunner.setupJob,1,13,27,2,0,0,0.22815657598114358,-0.05555917442402468
MultiJobRunner.runJobInSequence,1,13,34,3,1,0,0.8587996843807081,-0.3900565151066903
MultiJobRunner.diff,0,0,5,1,2,0,-0.4992883522514843,-0.7777167733700983
MultiJobRunner.runJobsInSequence,0,3,17,3,1,0,0.20119264476714468,-0.4896413469904619
MultiJobRunner.copyToDFS,1,5,21,3,2,2,0.5243925210310749,-0.7690676292408534
MultiJobRunner.copyFromDFS,1,3,9,1,2,0,-0.34012835946516523,-0.7398607885476499
MultiJobRunner.setupContext,1,2,3,1,0,0,-0.8965466256351352,-0.13063219460115574
MultiJobRunner.clearContext,1,2,3,1,0,0,-0.8965466256351352,-0.13063219460115574
MultiJobRunner.run,16,267,40,5,0,1,3.2100731118478643,3.4539635037748333
MultiJobRunner.getNumMaps,1,0,3,1,0,0,-0.9114011530829675,-0.15796943445350883
MultiJobRunner.setNumMaps,1,0,3,1,1,0,-0.7399340058814401,-0.4615830816001721
MultiJobRunner.getNumReduces,0,0,3,1,0,0,-0.9109082160022055,-0.16526617255032364
MultiJobRunner.setNumReduces,1,0,3,1,1,0,-0.7399340058814401,-0.4615830816001721
MultiJobRunner.main,3,187,80,18,1,4,7.0115728203949965,1.6937089677318478
CompoundDirSpec.parse,5,10,53,13,0,4,3.503356591299263,-0.2739043942868951
CompoundDirSpec.throwBadNumPrimaryInputSpecs,2,1,7,1,0,0,-0.7670956877444809,-0.14745068948341386
